NCBI Protein ID	UniProt_ID
NP_001158508.1	Q02218
NP_002532.2	Q02218
NP_001004426.1	O60733
NP_001005360.1	P50570
NP_001005361.1	P50570
NP_001005362.1	P50570
NP_001177645.1	P50570
NP_004936.2	P50570
NP_001006942.1	Q92685
NP_005778.1	Q92685
NP_001007028.1	Q9BVK2
NP_076984.2	Q9BVK2
NP_001009814.1	A3KMH1
NP_055873.1	A3KMH1
NP_001009909.2	Q86TE4
NP_001010875.1	Q5SVS4
NP_001011667.1	Q9BUK0
NP_001011668.1	Q9BUK0
NP_001011669.1	Q9BUK0
NP_001011670.1	Q9BUK0
NP_001011671.1	Q9BUK0
NP_077276.2	Q9BUK0
NP_000131.2	P22830
NP_001012533.1	P22830
NP_001013003.1	Q5JTJ3
NP_001013454.1	P25325
NP_001123989.1	P25325
NP_066949.2	P25325
NP_001014446.1	Q56VL3
NP_001273702.1	Q56VL3
NP_689611.1	Q56VL3
NP_001014990.1	Q9NWU5
NP_054899.2	Q9NWU5
NP_001015001.1	P12532
NP_066270.1	P12532
NP_001017524.1	Q9NTG7
NP_036371.1	Q9NTG7
NP_001018004.1	P09493
NP_001018024.1	P56277
NP_001018025.1	P56278
NP_001018070.1	Q96NN9
NP_001139760.1	Q96NN9
NP_653305.1	Q96NN9
NP_001018088.1	Q05932
NP_004948.4	Q05932
NP_001018114.1	Q6P587
NP_001135870.1	Q6P587
NP_112485.1	Q6P587
NP_001018146.1	P22392
NP_001018147.1	P22392
NP_001018148.1	P22392
NP_001018149.1	P22392
NP_002503.1	P22392
NP_001018238.1	O00165
NP_006109.2	O00165
NP_000627.2	P04179
NP_001019636.1	P04179
NP_001019637.1	P04179
NP_001020419.1	P33316
NP_001020420.1	P33316
NP_001939.1	P33316
NP_001025174.1	P41235
NP_001026871.1	Q86UY8
NP_001026882.2	Q7Z4G4
NP_001028260.2	Q9NPE2
NP_001028729.1	O75688
NP_002697.1	O75688
NP_808907.1	O75688
NP_808908.1	O75688
NP_001028738.1	Q8IXI2
NP_001028740.1	Q8IXI2
NP_060777.3	Q8IXI2
NP_001028755.2	Q9Y305
NP_001032248.1	Q9Y305
NP_001029345.2	Q3SY69
NP_001030588.1	Q99643
NP_001030589.1	Q99643
NP_001030590.1	Q99643
NP_002992.1	Q99643
NP_001031.2	P04278
NP_001033.1	P14672
NP_000023.2	P22557
NP_001033056.1	P22557
NP_001033057.1	P22557
NP_001034230.1	Q9H2D6
NP_001003713.1	P56134
NP_001003714.1	P56134
NP_001034267.1	P56134
NP_004880.1	P56134
NP_001034444.1	Q8N8R3
NP_001034464.1	Q5TEU4
NP_001034672.1	Q9NRD5
NP_001034673.1	Q9NRD5
NP_036539.1	Q9NRD5
NP_001034934.1	Q5I0G3
NP_001035808.1	Q8TB36
NP_061845.2	Q8TB36
NP_001035835.1	F8WCM5
NP_001035940.1	Q5SZL2
NP_001036017.1	Q17R31
NP_001036018.1	Q17R31
NP_001139641.1	Q17R31
NP_001139642.1	Q17R31
NP_001139643.1	Q17R31
NP_001073136.1	P43699
NP_003308.1	P43699
NP_001073308.1	Q9NX40
NP_001073309.1	Q9NX40
NP_001073310.1	Q9NX40
NP_001073311.2	Q9NX40
NP_060300.1	Q9NX40
NP_001073583.1	O75112
NP_001073847.1	Q96M98
NP_001073848.1	Q96M98
NP_689623.2	Q96M98
NP_001073901.1	Q9C0B1
NP_001073918.2	P51530
NP_001075029.1	Q09013
NP_001075031.1	Q09013
NP_001075032.1	Q09013
NP_004400.4	Q09013
NP_000492.2	P15502
NP_001075221.1	P15502
NP_001075222.1	P15502
NP_001075223.1	P15502
NP_001075224.1	P15502
NP_001265844.1	P15502
NP_001265845.1	P15502
NP_001265868.1	P15502
NP_001077083.1	Q5JPH6
NP_001077432.1	Q9Y2W6
NP_001077433.1	Q9Y2W6
NP_001077434.1	Q9Y2W6
NP_006853.2	Q9Y2W6
NP_001084.3	O00763
XP_005253933.1	O00763
NP_001036060.1	Q6ZNR0
NP_001092291.1	Q6ZNR0
NP_001092292.1	Q6ZNR0
NP_001092293.1	Q6ZNR0
NP_001092294.1	Q6ZNR0
NP_001092295.1	Q6ZNR0
NP_001092807.1	Q96MF6
NP_653177.3	Q96MF6
NP_001093095.1	Q9H019
NP_001093096.1	Q9H019
NP_001093097.1	Q9H019
NP_062457.3	Q9H019
NP_001093639.1	Q16891
NP_001093640.1	Q16891
NP_006830.2	Q16891
XP_005264170.1	Q16891
NP_001094.1	P35609
NP_001094344.1	Q4ZJI4
NP_001095132.1	O43847
NP_001229290.1	O43847
NP_002516.2	O43847
NP_001095836.1	Q7Z3D6
NP_001095837.1	Q7Z3D6
NP_001095838.1	Q7Z3D6
NP_001095839.1	Q7Z3D6
NP_079228.4	Q7Z3D6
NP_001096616.1	Q6Y7W6
NP_001106676.1	Q8NFU3
NP_001106677.1	Q8NFU3
NP_001106678.1	Q8NFU3
NP_001116105.1	P31327
NP_001116106.1	P31327
NP_001866.2	P31327
NP_001116698.1	Q9Y2Z2
NP_036255.2	Q9Y2Z2
NP_598400.1	Q9Y2Z2
NP_000017.1	P30566
NP_001116850.1	P30566
NP_000330.2	P55017
NP_001119579.1	P55017
NP_001119580.1	P55017
NP_000537.3	P04637
NP_001119584.1	P04637
NP_001119585.1	P04637
NP_001119586.1	P04637
NP_001119587.1	P04637
NP_001119588.1	P04637
NP_001119589.1	P04637
NP_001119590.1	P04637
NP_000007.1	P11310
NP_001120800.1	P11310
NP_001120930.1	Q9UJA2
NP_061968.1	Q9UJA2
NP_000117.1	P13804
NP_001121188.1	P13804
NP_001121700.2	Q4KMQ1
NP_001122103.1	Q8WVC6
NP_079095.3	Q8WVC6
NP_000524.3	P60201
NP_001122306.1	P60201
NP_955772.1	P60201
NP_000773.2	Q07973
NP_001122387.1	Q07973
XP_005260361.1	Q07973
NP_001122388.1	O96008
NP_001122389.1	O96008
NP_006105.1	O96008
NP_001123514.1	Q08257
NP_001123515.1	Q08257
NP_001128231.1	Q08257
NP_001880.2	Q08257
XP_005270548.1	Q08257
XP_011539049.1	Q08257
NP_001127703.1	Q9H857
NP_075059.1	Q9H857
XP_005265463.1	Q9H857
XP_006713368.1	Q9H857
NP_001127917.1	O94760
NP_036269.1	O94760
NP_000745.1	P21964
NP_001128633.1	P21964
NP_001128634.1	P21964
NP_009294.1	P21964
NP_001128711.1	P00338
NP_001158886.1	P00338
NP_001158887.1	P00338
NP_001158888.1	P00338
NP_005557.1	P00338
NP_001129166.1	Q9Y277
NP_005653.3	Q9Y277
NP_001129470.1	Q9NX14
NP_061929.2	Q9NX14
NP_001129507.1	Q9NXH9
NP_001136026.1	Q9NXH9
NP_060192.1	Q9NXH9
NP_001130010.1	Q6JQN1
NP_079523.3	Q6JQN1
NP_001129511.1	Q9GZT8
NP_001135827.1	Q9GZT8
NP_001135828.1	Q9GZT8
NP_068596.2	Q9GZT8
NP_001135858.1	Q15120
NP_005382.1	Q15120
NP_001136017.1	Q86TW2
NP_065154.2	Q86TW2
NP_001136019.1	Q6P087
NP_775930.2	Q6P087
NP_001136027.1	Q96D53
NP_079152.3	Q96D53
NP_001137277.1	P23560
NP_001137446.1	Q9NR71
NP_063946.2	Q9NR71
NP_001137468.1	Q9ULD0
NP_001137469.1	Q9ULD0
NP_060715.2	Q9ULD0
NP_001138299.1	Q96CM3
NP_116184.2	Q96CM3
NP_001138423.1	Q8IVS8
NP_660305.2	Q8IVS8
NP_001138450.1	Q9H903
NP_001138732.1	Q13772
NP_001138733.1	Q13772
NP_001138734.1	Q13772
NP_001138735.1	Q13772
NP_005428.1	Q13772
NP_001138740.1	Q8N0U4
NP_001138741.1	Q8N0U4
NP_001138765.1	Q96IV0
NP_001138766.1	Q96IV0
NP_001138767.1	Q96IV0
NP_060767.2	Q96IV0
NP_001138836.1	Q8NFV4
NP_683710.1	Q8NFV4
NP_683711.1	Q8NFV4
NP_001138863.1	Q9NWU1
NP_060367.1	Q9NWU1
NP_001139114.1	Q92622
NP_055502.1	Q92622
NP_001139310.1	Q15390
NP_055452.3	Q15390
NP_001139443.1	Q8NBN7
NP_612421.1	Q8NBN7
XP_005258530.1	Q8NBN7
NP_001139748.1	Q6PIU2
NP_001139749.1	Q6PIU2
NP_001139750.1	Q6PIU2
NP_065843.3	Q6PIU2
NP_000356.1	P60174
NP_001152759.1	P60174
NP_001244955.1	P60174
NP_001153682.1	Q9UJS0
NP_055066.1	Q9UJS0
NP_001154976.1	P30038
NP_003739.2	P30038
NP_733844.1	P30038
NP_001157704.1	O94830
NP_001157749.1	O43826
NP_001157750.1	O43826
NP_001157751.1	O43826
NP_001157752.1	O43826
NP_001458.1	O43826
NP_001157950.1	A6NC05
NP_001157951.1	A6NC05
NP_000472.2	P48728
NP_001158182.1	P48728
NP_001158183.1	P48728
NP_001158184.1	P48728
NP_001158202.1	Q9H902
NP_001158203.1	Q9H902
NP_001158204.1	Q9H902
NP_075063.1	Q9H902
NP_001158245.1	O15382
NP_001181.2	O15382
NP_001158268.1	Q70HW3
NP_001159418.1	P14735
NP_004960.2	P14735
NP_001009570.1	Q99832
NP_001159756.1	Q99832
NP_001159757.1	Q99832
NP_006420.1	Q99832
NP_001159828.1	P34897
NP_001159829.1	P34897
NP_001159830.1	P34897
NP_001159831.1	P34897
NP_005403.2	P34897
NP_001159887.1	Q08426
NP_001957.2	Q08426
NP_001161067.1	Q9UHK6
NP_055139.4	Q9UHK6
NP_976316.1	Q9UHK6
NP_001161072.1	Q8WWR8
NP_001161073.1	Q8WWR8
NP_001161074.1	Q8WWR8
NP_542779.2	Q8WWR8
NP_001161093.1	Q9UBB4
NP_037368.1	Q9UBB4
NP_001161205.1	Q5ST30
NP_001161206.1	Q5ST30
NP_065175.4	Q5ST30
NP_001161419.1	O60830
NP_005825.1	O60830
NP_001161803.1	O95168
NP_004538.2	O95168
NP_001161870.1	P78382
NP_006407.1	P78382
NP_001035844.1	Q4J6C6
NP_001035845.1	Q4J6C6
NP_001165074.1	Q4J6C6
NP_001165077.1	Q4J6C6
NP_001165084.1	Q4J6C6
NP_001165088.1	Q4J6C6
NP_006027.2	Q4J6C6
NP_000389.1	P00387
NP_001123291.1	P00387
NP_001165131.1	P00387
NP_001165132.1	P00387
NP_015565.1	P00387
NP_000265.1	P04181
NP_001165285.1	P04181
NP_001165461.1	Q8NE22
NP_714917.2	Q8NE22
NP_001166114.1	O00142
NP_001166115.1	O00142
NP_004605.4	O00142
NP_000275.1	P08559
NP_001166925.1	P08559
NP_001166926.1	P08559
NP_001166927.1	P08559
NP_001170858.1	O15265
NP_001171562.1	P54687
NP_001171563.1	P54687
NP_001171564.1	P54687
NP_001171565.1	P54687
NP_005495.2	P54687
NP_001177793.1	P82673
NP_068593.2	P82673
NP_001177912.1	Q99807
NP_057222.2	Q99807
NP_001179.1	Q16611
NP_001180196.1	Q9NXA8
NP_001229756.1	Q9NXA8
NP_036373.1	Q9NXA8
NP_112534.1	Q9NXA8
XP_005249025.1	Q9NXA8
NP_001180272.1	Q9NVS2
NP_060605.1	Q9NVS2
NP_001180380.1	Q8IUR5
NP_787057.2	Q8IUR5
NP_001026849.1	Q8IXL7
NP_001180389.1	Q8IXL7
NP_001180390.1	Q8IXL7
NP_932346.1	Q8IXL7
NP_001180467.1	Q8IUX1
NP_001243475.1	Q8IUX1
NP_060950.3	Q8IUX1
NP_001007099.1	P22307
NP_001007100.1	P22307
NP_001007101.1	P22307
NP_001007251.1	P22307
NP_001180528.1	P22307
NP_001180546.1	P22307
NP_002970.2	P22307
NP_001137377.1	Q9H3J6
NP_001181924.1	Q9H3J6
NP_689482.1	Q9H3J6
XP_005253687.1	Q9H3J6
NP_000628.2	P00390
NP_001182031.1	P00390
NP_001182032.1	P00390
NP_001182033.1	P00390
NP_001182177.1	Q7Z2E3
NP_001182178.1	Q7Z2E3
NP_001182179.1	Q7Z2E3
NP_001182180.1	Q7Z2E3
NP_001182181.1	Q7Z2E3
NP_001182183.1	Q7Z2E3
NP_778239.1	Q7Z2E3
NP_778243.1	Q7Z2E3
NP_001185461.1	Q8N573
NP_001185462.1	Q8N573
NP_001185463.1	Q8N573
NP_001185464.1	Q8N573
NP_060472.2	Q8N573
NP_851999.2	Q8N573
NP_001185625.1	Q9BRQ8
NP_116186.1	Q9BRQ8
NP_001185890.1	Q86YB7
NP_060751.2	Q86YB7
XP_011540012.1	Q86YB7
XP_011540027.1	Q86YB7
NP_001185918.1	Q9Y697
NP_066923.3	Q9Y697
NP_000405.1	P51659
NP_001186220.1	P51659
NP_001186221.1	P51659
NP_001186781.1	Q9UIJ7
NP_001186782.1	Q9UIJ7
NP_001186784.1	Q9UIJ7
NP_001186785.1	Q9UIJ7
NP_057366.2	Q9UIJ7
NP_001186886.1	O43674
NP_001186887.1	O43674
NP_002483.1	O43674
NP_001173.2	P49419
NP_001188306.1	P49419
NP_000144.2	P54803
NP_001188330.1	P54803
NP_001188331.1	P54803
NP_001159435.1	P35498
NP_001159436.1	P35498
NP_001189364.1	P35498
NP_008851.3	P35498
NP_001189398.1	O75323
NP_001474.1	O75323
NP_001190983.1	O95298
NP_001190984.1	O95298
NP_004540.1	O95298
NP_000681.2	P05091
NP_001191818.1	P05091
NP_001009185.1	Q9UKU0
NP_001192176.1	Q9UKU0
NP_001192177.1	Q9UKU0
NP_001192179.1	Q9UKU0
NP_001192180.1	Q9UKU0
NP_056071.2	Q9UKU0
NP_001193765.1	P62491
NP_004654.1	P62491
NP_001195.2	Q13873
NP_001201831.1	Q92731
NP_001073593.1	Q14790
NP_001073594.1	Q14790
NP_001219.2	Q14790
NP_203519.1	Q14790
NP_203520.1	Q14790
NP_203522.1	Q14790
NP_001229236.1	Q5JRX3
NP_001229238.1	Q5JRX3
NP_055704.2	Q5JRX3
NP_001229602.1	O43865
NP_001229603.1	O43865
NP_001229604.1	O43865
NP_001229605.1	O43865
NP_006612.2	O43865
NP_000849.1	Q16774
NP_001152862.1	Q16774
NP_001152863.1	Q16774
NP_001229768.1	Q16774
NP_001229769.1	Q16774
NP_001229831.1	Q92667
NP_001229832.1	Q92667
NP_003479.1	Q92667
NP_000044.2	P35670
NP_001230111.1	P35670
XP_005266487.1	P35670
NP_000036.2	P05089
NP_001231367.1	P05089
NP_001187.1	P55957
NP_001231496.1	P55957
NP_001231498.1	P55957
NP_001231499.1	P55957
NP_001231501.1	P55957
NP_932070.1	P55957
NP_932071.1	P55957
NP_001231535.1	Q96T52
NP_115938.1	Q96T52
XP_005250687.1	Q96T52
NP_001231867.1	P10599
NP_003320.2	P10599
NP_001239579.1	Q8TC12
NP_057110.3	Q8TC12
NP_001239604.1	Q9NUB1
NP_001239605.1	Q9NUB1
NP_001239606.1	Q9NUB1
NP_115890.2	Q9NUB1
NP_001240795.1	Q96TA2
NP_055078.1	Q96TA2
NP_647473.1	Q96TA2
NP_001240804.1	Q8NBZ7
NP_001240805.1	Q8NBZ7
NP_079352.2	Q8NBZ7
NP_001242936.1	Q9NP80
NP_001242937.1	Q9NP80
NP_001242938.1	Q9NP80
NP_001242939.1	Q9NP80
NP_001242940.1	Q9NP80
NP_056538.1	Q9NP80
XP_005250453.1	Q9NP80
NP_001243056.1	Q96CB9
NP_001243057.1	Q96CB9
NP_950245.2	Q96CB9
NP_001036011.2	Q5TC12
NP_001230657.1	Q5TC12
NP_001243347.1	Q5TC12
NP_073582.3	Q5TC12
NP_001243406.1	Q5EBM0
NP_001243407.1	Q5EBM0
NP_997198.2	Q5EBM0
NP_001243411.1	P34913
NP_001243412.1	P34913
NP_001243413.1	P34913
NP_001970.2	P34913
NP_000705.2	P30536
NP_001243459.1	P30536
NP_001243460.1	P30536
NP_001243601.1	Q9UBI4
NP_001243602.1	Q9UBI4
NP_001243603.1	Q9UBI4
NP_001243604.1	Q9UBI4
NP_001243605.1	Q9UBI4
NP_001243606.1	Q9UBI4
NP_004800.2	Q9UBI4
XP_006720836.1	Q9UBI4
NP_001243607.1	O15091
NP_001243608.1	O15091
NP_001243609.1	O15091
NP_001243610.1	O15091
NP_055487.2	O15091
XP_005268294.1	O15091
XP_011535711.1	O15091
XP_011535712.1	O15091
NP_001244946.1	Q96RQ9
NP_000181.2	P08397
NP_001019553.1	P08397
NP_001245137.1	P08397
NP_001245138.1	P08397
XP_005271588.1	P08397
XP_005271589.1	P08397
NP_000240.1	P40692
NP_001161089.1	P40692
NP_001161090.1	P40692
NP_001161091.1	P40692
NP_001245200.1	P40692
NP_001245202.1	P40692
NP_001245203.1	P40692
NP_001245267.1	Q9UI09
NP_061326.1	Q9UI09
NP_001245321.1	Q9H078
NP_001245322.1	Q9H078
NP_001245323.1	Q9H078
NP_110440.1	Q9H078
NP_001245390.1	Q14296
NP_006703.1	Q14296
NP_148936.2	Q14296
NP_001006642.1	Q6KCM7
NP_001006643.1	Q6KCM7
NP_001252543.1	Q6KCM7
NP_443133.2	Q6KCM7
NP_001138303.1	Q99623
NP_001254629.1	Q99623
NP_001257293.1	O75891
NP_001257294.1	O75891
NP_036322.2	O75891
NP_000142.2	P35575
NP_001257326.1	P35575
NP_001257658.1	Q9BXK5
NP_001257659.1	Q9BXK5
NP_001257660.1	Q9BXK5
NP_056182.2	Q9BXK5
NP_001257711.1	Q00059
NP_003192.1	Q00059
NP_001263408.1	P36776
NP_001263409.1	P36776
NP_004784.2	P36776
NP_001263432.1	O14521
NP_001263433.1	O14521
NP_001263435.1	O14521
NP_002993.1	O14521
NP_001070709.2	Q8N413
NP_001265179.2	Q8N413
NP_001265180.2	Q8N413
NP_001287749.1	Q8N413
NP_872362.3	Q8N413
XP_006718572.1	Q8N413
XP_006718573.1	Q8N413
XP_011543245.1	Q8N413
XP_011543246.1	Q8N413
XP_011543251.1	Q8N413
NP_001265251.1	Q13875
NP_001265252.1	Q13875
NP_891980.1	Q13875
NP_001265392.1	O00429
NP_001265393.1	O00429
NP_001265394.1	O00429
NP_001265395.1	O00429
NP_005681.2	O00429
NP_036192.2	O00429
NP_036193.2	O00429
NP_001265552.1	Q6ZNB6
NP_001265553.1	Q6ZNB6
NP_694540.3	Q6ZNB6
NP_001266285.1	O75608
NP_001266286.1	O75608
NP_001266287.1	O75608
NP_001266288.1	O75608
NP_001266289.1	O75608
NP_006321.1	O75608
NP_001268405.1	Q53R41
NP_078898.3	Q53R41
NP_001268425.1	P35232
NP_001268426.1	P35232
NP_001268644.1	P35232
NP_002625.1	P35232
NP_001073331.1	P07108
NP_001073332.1	P07108
NP_001171488.1	P07108
NP_001171512.1	P07108
NP_001171513.1	P07108
NP_001269562.1	P07108
NP_001269563.1	P07108
NP_001269564.1	P07108
NP_065438.1	P07108
NP_001078880.1	Q4G0N4
NP_001274269.1	Q4G0N4
NP_001274270.1	Q4G0N4
NP_694558.1	Q4G0N4
NP_001275883.1	P40305
NP_001275886.1	P40305
NP_001275887.1	P40305
NP_001275889.1	P40305
NP_001275924.1	P40305
NP_005523.3	P40305
NP_001243728.1	P04406
NP_001276674.1	P04406
NP_001276675.1	P04406
NP_002037.2	P04406
NP_001287877.1	Q86WA8
NP_113678.2	Q86WA8
NP_001294.2	Q12887
NP_001340.2	P14868
NP_001350.1	Q16698
NP_001356.1	P78352
NP_001373.2	Q9H3H5
NP_001473.1	P50440
NP_001478.2	P78537
NP_001488.2	P15291
NP_001123882.1	P09110
NP_001598.1	P09110
NP_001600.1	P45954
NP_001186128.1	P54819
NP_001616.1	P54819
NP_037543.1	P54819
NP_001617.1	P31751
NP_001186674.1	P36404
NP_001658.2	P36404
NP_001689.1	Q13825
NP_001835.3	P02458
NP_001840.3	P12110
NP_001027017.1	P50416
NP_001867.2	P50416
NP_001924.2	P36957
NP_001107227.1	P19971
NP_001107228.1	P19971
NP_001944.1	P19971
NP_001014763.1	P38117
NP_001976.1	P38117
NP_001986.2	P33121
NP_001129293.1	P14324
NP_001129294.1	P14324
NP_001229753.1	P14324
NP_001229754.1	P14324
NP_001995.1	P14324
NP_002071.2	P00505
NP_001034936.1	P36969
NP_002076.2	P36969
NP_001091947.1	Q12849
NP_002083.3	Q12849
NP_002100.2	P12081
NP_002147.2	P10809
NP_955472.1	P10809
NP_002159.2	P48735
NP_001093422.2	Q14643
NP_001161744.1	Q14643
NP_002213.5	Q14643
NP_002233.2	O60928
NP_002294.2	P48357
NP_002386.1	P48163
NP_001161807.1	P23368
NP_002387.1	P23368
NP_002426.1	P34949
NP_002445.2	Q9UBK8
NP_076915.2	Q9UBK8
NP_002464.1	P35579
NP_001171941.1	O43678
NP_002479.1	O43678
NP_002519.1	P78549
NP_001265478.1	Q15118
NP_002601.1	Q15118
NP_001186827.1	Q15119
NP_001186828.1	Q15119
NP_002602.2	Q15119
NP_002702.2	Q16821
NP_002730.1	P05129
NP_002759.2	Q9HD42
NP_002769.1	P07602
NP_001269161.1	P60900
NP_001269162.1	P60900
NP_001269163.1	P60900
NP_002782.1	P60900
NP_001116146.1	P28288
NP_002849.1	P28288
NP_001017423.1	P54886
NP_002851.2	P54886
NP_002878.2	P54136
NP_001258766.1	Q14257
NP_002893.1	Q14257
NP_002897.1	P35241
NP_002990.2	P31431
NP_001159968.1	P53985
NP_003042.3	P53985
NP_003051.1	O76082
NP_003063.2	P51532
NP_001032420.1	O76039
NP_003150.1	O76039
NP_003156.1	P61764
NP_001267716.1	Q15526
NP_003163.1	Q15526
NP_003267.1	P42166
NP_003280.2	P07951
NP_998839.1	P07951
NP_003313.3	O00294
NP_003353.1	P13051
NP_550433.1	P13051
NP_001171712.1	P45880
NP_001171752.1	P45880
NP_003366.2	P45880
NP_003434.2	Q13105
NP_003457.1	Q06710
NP_003467.1	P50461
NP_001128496.1	O00330
NP_001159630.1	O00330
NP_003468.2	O00330
NP_001095137.1	O15254
NP_003492.2	O15254
NP_003553.2	Q02978
NP_003670.2	O15229
NP_003696.2	O75746
NP_001171724.1	O96011
NP_003837.1	O96011
NP_001171070.1	Q96I99
NP_003839.2	Q96I99
NP_003841.1	Q9P2R7
NP_001028170.1	Q16719
NP_001186170.1	Q16719
NP_003928.1	Q16719
NP_001171968.1	Q15067
NP_004026.2	Q15067
NP_009223.2	Q15067
NP_004035.2	P31939
NP_001001937.1	P25705
NP_004037.1	P25705
NP_001186768.1	Q92843
NP_004041.1	Q92843
NP_004077.1	O43405
NP_004126.1	P51553
NP_777358.1	P51553
NP_004127.1	P48200
NP_004151.3	P10082
NP_004159.2	P31040
NP_004194.3	Q99640
NP_004209.2	Q15907
NP_001190980.1	O95847
NP_001190981.1	O95847
NP_004268.3	O95847
NP_004285.2	O75570
XP_005266656.1	O75570
NP_001258625.1	O75027
NP_001258626.1	O75027
NP_004290.2	O75027
NP_004322.1	O60238
NP_004323.2	Q86WA6
NP_004360.2	P12111
NP_004366.1	Q9Y6N1
NP_004406.2	P15924
NP_004443.3	O95718
NP_004444.2	Q16134
NP_001032900.1	Q99714
NP_004484.1	Q99714
NP_004499.2	Q13907
NP_004530.1	O43776
NP_004535.1	O95299
NP_004536.2	O75438
NP_004539.1	O96000
NP_001159631.1	O75306
NP_004541.1	O75306
XP_005245265.1	O75306
NP_004542.1	O75489
NP_004609.1	Q13472
NP_004691.2	P56696
NP_004740.2	Q969Z0
NP_112162.1	Q969Z0
NP_004748.2	Q12904
NP_001177931.1	P78417
NP_001177932.1	P78417
NP_004823.1	P78417
NP_004861.2	O75352
NP_001120865.1	P56378
NP_004885.1	P56378
NP_001026851.2	O60931
NP_004928.2	O60931
NP_004981.2	P56192
NP_001104262.1	P51608
NP_004983.1	P51608
NP_004990.3	Q9UM54
NP_004991.1	Q16718
NP_004995.1	O95169
NP_001186910.1	P28331
NP_001186911.1	P28331
NP_001186912.1	P28331
NP_001186913.1	P28331
NP_004997.4	P28331
NP_005000.1	O00746
NP_005004.1	P80303
NP_005111.2	Q93074
NP_001128582.1	Q96EY1
NP_005138.3	Q96EY1
NP_005174.2	O60840
NP_005189.2	Q9Y259
NP_005253.3	P55789
NP_005262.1	P00367
NP_001244128.1	P21695
NP_005267.2	P21695
NP_001035517.1	Q16775
NP_005317.2	Q16775
NP_001171634.2	Q16836
NP_005318.3	Q16836
NP_005461.2	Q8IZP0
NP_001159579.1	P54868
NP_005509.1	P54868
NP_005521.1	P50213
NP_001123561.1	Q15046
NP_005539.1	Q15046
NP_001265522.1	Q02252
NP_005580.1	Q02252
NP_001172021.1	Q86X76
NP_001172022.1	Q86X76
NP_001172023.1	Q86X76
NP_005591.1	Q86X76
NP_001136277.1	P48029
NP_001136278.1	P48029
NP_005620.1	P48029
NP_005680.1	Q9NP58
NP_005682.2	O60706
NP_005683.2	Q9UG63
NP_009120.1	Q9UG63
NP_005693.1	O75616
NP_005700.2	Q9Y6N9
NP_001166166.1	P43897
NP_001166167.1	P43897
NP_001166168.1	P43897
NP_005717.3	P43897
NP_005720.1	P30405
