NCBI_Protein_ID_uniprot_ids_984.txt NCBI_Protein_ID_uniprot_ids_5778.txt
NP_001257655.1	A0A087WX97
NP_001458.1	O43826
NP_008830.2	O43837
NP_777280.1	O43837
NP_001095132.1	O43847
NP_001229290.1	O43847
NP_002516.2	O43847
NP_001229602.1	O43865
NP_001229603.1	O43865
NP_001229604.1	O43865
NP_001229605.1	O43865
NP_006612.2	O43865
NP_001171908.1	O43920
NP_004543.1	O43920
NP_000457.1	O43933
NP_064695.3	O60218
NP_004076.1	O60220
NP_004322.1	O60238
NP_056375.2	O60313
NP_570844.1	O60313
NP_570846.1	O60313
NP_570847.2	O60313
NP_570849.2	O60313
NP_570850.2	O60313
NP_055889.2	O60333
NP_904325.2	O60333
NP_004449.1	O60488
NP_075266.1	O60488
NP_001257551.1	O60669
NP_001257552.1	O60669
NP_004722.2	O60669
XP_005269288.1	O60669
NP_003850.1	O60762
NP_008927.1	O60779
NP_071383.1	O60783
NP_001161419.1	O60830
NP_005825.1	O60830
NP_005174.2	O60840
NP_002927.2	O60930
NP_001258625.1	O75027
NP_001258626.1	O75027
NP_004290.2	O75027
NP_001073583.1	O75112
NP_056360.2	O75127
NP_077718.3	O75251
NP_001159631.1	O75306
NP_004541.1	O75306
XP_005245265.1	O75306
NP_001189398.1	O75323
NP_001474.1	O75323
NP_004861.2	O75352
NP_004544.1	O75380
NP_004068.2	O75390
NP_006545.1	O75431
NP_004536.2	O75438
NP_004270.2	O75439
NP_004542.1	O75489
NP_006484.1	O75503
NP_004285.2	O75570
XP_005266656.1	O75570
NP_001165161.1	O75600
NP_055106.1	O75600
XP_005261467.1	O75600
NP_001266285.1	O75608
NP_001266286.1	O75608
NP_001266287.1	O75608
NP_001266288.1	O75608
NP_001266289.1	O75608
NP_006321.1	O75608
NP_005693.1	O75616
NP_060476.2	O75648
NP_001028729.1	O75688
NP_002697.1	O75688
NP_808907.1	O75688
NP_808908.1	O75688
NP_003696.2	O75746
NP_001227.1	O75828
NP_005887.2	O75874
NP_004580.1	O75880
NP_001257293.1	O75891
NP_001257294.1	O75891
NP_036322.2	O75891
NP_003977.1	O75936
XP_005253216.1	O75936
XP_005253217.1	O75936
XP_005253218.1	O75936
NP_001003785.1	O75947
NP_006347.1	O75947
NP_006467.4	O75964
NP_001139325.1	O76024
NP_005996.2	O76024
NP_006651.2	O76031
NP_001032420.1	O76039
NP_003150.1	O76039
NP_001127917.1	O94760
NP_036269.1	O94760
NP_055635.3	O94826
NP_001157704.1	O94830
NP_009129.1	O94903
NP_001243239.1	O94925
NP_055720.3	O94925
NP_002484.1	O95139
NP_877416.1	O95139
NP_001121132.1	O95140
NP_055689.1	O95140
NP_004533.1	O95167
NP_001161803.1	O95168
NP_004538.2	O95168
NP_004995.1	O95169
NP_004537.1	O95178
NP_004992.2	O95182
NP_036450.1	O95202
NP_001190983.1	O95298
NP_001190984.1	O95298
NP_004540.1	O95298
NP_004535.1	O95299
NP_006558.1	O95363
XP_005248869.1	O95363
NP_055112.2	O95571
XP_005258744.1	O95571
NP_004274.1	O95716
NP_004773.1	O95721
NP_004272.2	O95817
NP_001124319.1	O95831
NP_004199.1	O95831
NP_665811.1	O95831
NP_056997.1	O95881
NP_056494.1	O95900
NP_006399.1	O95994
XP_005249638.1	O95994
NP_003912.1	O95999
NP_004539.1	O96000
NP_004522.1	O96007
NP_001122388.1	O96008
NP_001122389.1	O96008
NP_006105.1	O96008
NP_001171724.1	O96011
NP_003837.1	O96011
NP_001177736.1	P00167
NP_001905.1	P00167
NP_683725.1	P00167
NP_001128711.1	P00338
NP_001158886.1	P00338
NP_001158887.1	P00338
NP_001158888.1	P00338
NP_005557.1	P00338
NP_005262.1	P00367
NP_000389.1	P00387
NP_001123291.1	P00387
NP_001165131.1	P00387
NP_001165132.1	P00387
NP_015565.1	P00387
NP_000628.2	P00390
NP_001182031.1	P00390
NP_001182032.1	P00390
NP_001182033.1	P00390
NP_002071.2	P00505
NP_000041.2	P00966
NP_446464.1	P00966
NP_002515.1	P01111
NP_789765.1	P01112
NP_203524.1	P01116
NP_000518.1	P01130
NP_001835.3	P02458
NP_001876.1	P02511
NP_733821.1	P02545
NP_000137.2	P02792
NP_002023.2	P02794
NP_003055.1	P03973
NP_001743.1	P04040
NP_000265.1	P04181
NP_001165285.1	P04181
NP_001243728.1	P04406
NP_001276674.1	P04406
NP_001276675.1	P04406
NP_002037.2	P04406
NP_000039.2	P04424
NP_001020114.1	P04424
NP_001020115.1	P04424
NP_000537.3	P04637
NP_001119584.1	P04637
NP_001119585.1	P04637
NP_001119586.1	P04637
NP_001119587.1	P04637
NP_001119588.1	P04637
NP_001119589.1	P04637
NP_001119590.1	P04637
NP_000681.2	P05091
NP_001191818.1	P05091
NP_001143.2	P05141
NP_000273.2	P05165
NP_001121164.1	P05165
NP_001171475.1	P05165
NP_000523.2	P05166
NP_001171485.1	P05166
NP_000199.2	P06213
NP_000160.1	P06280
NP_001677.2	P06576
NP_000166.2	P06744
NP_001171651.1	P06744
NP_001167568.1	P07195
NP_002291.1	P07195
NP_006149.2	P07196
NP_000572.2	P07203
NP_000304.2	P07225
NP_000909.2	P07237
NP_001900.1	P07339
NP_002769.1	P07602
NP_005995.2	P07919
NP_002282.2	P07942
NP_066124.1	P07949
NP_003280.2	P07951
NP_998839.1	P07951
NP_000134.2	P07954
NP_000181.2	P08397
NP_001019553.1	P08397
NP_001245137.1	P08397
NP_001245138.1	P08397
XP_005271588.1	P08397
XP_005271589.1	P08397
NP_000275.1	P08559
NP_001166925.1	P08559
NP_001166926.1	P08559
NP_001166927.1	P08559
NP_001907.2	P08574
NP_009139.1	P09001
NP_001123882.1	P09110
NP_001598.1	P09110
NP_000498.2	P09467
NP_001121100.1	P09467
NP_001018004.1	P09493
NP_000099.2	P09622
NP_004365.1	P09669
NP_001129970.1	P0C7P0
NP_004065.1	P10176
NP_000143.2	P10253
NP_001073271.1	P10253
NP_001073272.1	P10253
XP_005257250.1	P10253
XP_005257251.1	P10253
NP_000624.2	P10415
NP_001922.2	P10515
NP_001231867.1	P10599
NP_003320.2	P10599
NP_001853.2	P10606
NP_001247440.1	P10620
NP_001247441.1	P10620
NP_001254527.1	P10620
NP_064696.1	P10620
NP_665707.1	P10620
NP_665734.1	P10620
NP_665735.1	P10620
NP_001116538.2	P10636
NP_001116539.1	P10636
NP_001190181.1	P10636
NP_005901.2	P10636
NP_058518.1	P10636
NP_058519.3	P10636
NP_058525.1	P10636
NP_000366.1	P10746
NP_002147.2	P10809
NP_955472.1	P10809
NP_002284.3	P11047
NP_006507.2	P11166
NP_000916.2	P11177
NP_001166939.1	P11177
NP_000007.1	P11310
NP_001120800.1	P11310
NP_000911.2	P11498
NP_001035806.1	P11498
NP_071504.2	P11498
XP_005274088.1	P11498
XP_005274089.1	P11498
NP_003997.1	P11532
NP_005947.3	P11586
NP_001840.3	P12110
NP_004360.2	P12111
NP_001142.2	P12235
NP_001627.2	P12236
NP_001015001.1	P12532
NP_066270.1	P12532
NP_000700.1	P12694
NP_001158255.1	P12694
NP_000248.2	P12883
NP_003353.1	P13051
NP_550433.1	P13051
NP_001852.1	P13073
NP_000092.2	P13498
NP_002462.2	P13533
NP_000415.2	P13647
NP_000117.1	P13804
NP_001121188.1	P13804
NP_006627.2	P13995
NP_000592.3	P14210
NP_001129293.1	P14324
NP_001129294.1	P14324
NP_001229753.1	P14324
NP_001229754.1	P14324
NP_001995.1	P14324
NP_001856.2	P14406
NP_001033.1	P14672
NP_001159418.1	P14735
NP_004960.2	P14735
NP_001854.1	P14854
NP_001340.2	P14868
NP_001186904.1	P14927
NP_001241681.1	P14927
NP_006285.1	P14927
NP_001488.2	P15291
NP_000260.1	P15531
NP_937818.1	P15531
NP_004406.2	P15924
NP_001858.1	P15954
NP_000932.3	P16435
NP_003867.1	P17152
NP_004137.2	P17568
NP_001918.3	P17661
NP_000987.2	P18077
NP_054706.1	P18206
NP_001003696.1	P18859
NP_001003697.1	P18859
NP_001003701.1	P18859
NP_001003703.1	P18859
NP_001676.2	P18859
NP_000179.2	P19367
NP_277031.1	P19367
NP_277032.1	P19367
NP_277033.1	P19367
NP_277035.2	P19367
NP_066552.2	P19404
NP_000354.4	P19429
NP_000424.2	P19878
NP_001107227.1	P19971
NP_001107228.1	P19971
NP_001944.1	P19971
NP_004246.2	P20674
NP_000061.1	P20807
NP_077320.1	P20807
NP_775110.1	P20807
NP_775111.1	P20807
NP_775112.1	P20807
NP_775113.1	P20807
NP_000874.2	P20839
NP_002188.1	P21399
NP_003365.1	P21796
XP_005272132.1	P21796
NP_002991.2	P21912
NP_000047.1	P21953
NP_898871.1	P21953
NP_000745.1	P21964
NP_001128633.1	P21964
NP_001128634.1	P21964
NP_009294.1	P21964
NP_000246.2	P22033
NP_001072992.1	P22234
NP_001072993.1	P22234
NP_006443.1	P22234
NP_001007099.1	P22307
NP_001007100.1	P22307
NP_001007101.1	P22307
NP_001007251.1	P22307
NP_001180528.1	P22307
NP_001180546.1	P22307
NP_002970.2	P22307
NP_001018146.1	P22392
NP_001018147.1	P22392
NP_001018148.1	P22392
NP_001018149.1	P22392
NP_002503.1	P22392
NP_006199.2	P22413
NP_003357.2	P22695
NP_000131.2	P22830
NP_001012533.1	P22830
NP_001161807.1	P23368
NP_002387.1	P23368
NP_000161.2	P23378
NP_004474.2	P23434
NP_000089.1	P23786
NP_001857.1	P24311
NP_000106.1	P24530
NP_001679.2	P24539
NP_000010.1	P24752
NP_001013454.1	P25325
NP_001123989.1	P25325
NP_066949.2	P25325
NP_001001937.1	P25705
NP_004037.1	P25705
NP_000968.2	P26373
NP_001152980.1	P26440
NP_002216.2	P26440
NP_001245366.1	P26639
NP_001245367.1	P26639
NP_689508.3	P26639
NP_004090.4	P27105
NP_937837.1	P27105
NP_001116146.1	P28288
NP_002849.1	P28288
NP_001186910.1	P28331
NP_001186911.1	P28331
NP_001186912.1	P28331
NP_001186913.1	P28331
NP_004997.4	P28331
NP_056991.2	P28838
NP_003995.2	P29033
NP_002821.1	P29074
NP_000486.1	P29400
NP_001055.1	P29401
NP_001128527.1	P29401
NP_001244957.1	P29401
XP_011532356.1	P29401
NP_001154976.1	P30038
NP_003739.2	P30038
NP_733844.1	P30038
NP_004896.1	P30041
NP_036226.1	P30044
NP_857634.1	P30044
NP_857635.1	P30044
NP_006784.1	P30048
NP_001001975.1	P30049
NP_001678.1	P30049
NP_004083.3	P30084
NP_001274511.1	P30307
NP_001781.2	P30307
NP_073720.1	P30307
XP_011542064.1	P30307
NP_005720.1	P30405
NP_000705.2	P30536
NP_001243459.1	P30536
NP_001243460.1	P30536
NP_000017.1	P30566
NP_001116850.1	P30566
NP_000683.3	P30837
NP_004159.2	P31040
NP_001116105.1	P31327
NP_001116106.1	P31327
NP_001866.2	P31327
NP_002990.2	P31431
NP_003356.2	P31930
NP_004035.2	P31939
NP_005800.3	P32119
NP_000158.1	P32189
NP_001121599.1	P32189
NP_001191948.1	P32189
NP_976325.1	P32189
NP_001986.2	P33121
NP_001020419.1	P33316
NP_001020420.1	P33316
NP_001939.1	P33316
NP_000024.2	P33897
NP_001159828.1	P34897
NP_001159829.1	P34897
NP_001159830.1	P34897
NP_001159831.1	P34897
NP_005403.2	P34897
NP_001243411.1	P34913
NP_001243412.1	P34913
NP_001243413.1	P34913
NP_001970.2	P34913
NP_002426.1	P34949
NP_001268425.1	P35232
NP_001268426.1	P35232
NP_001268644.1	P35232
NP_002625.1	P35232
NP_002897.1	P35241
NP_003115.1	P35270
NP_005535.1	P35568
NP_002464.1	P35579
NP_001094.1	P35609
NP_000449.1	P35680
NP_001112362.1	P35754
NP_002055.1	P35754
NP_000182.2	P35914
NP_001159531.1	P35914
NP_006508.2	P36021
NP_001186674.1	P36404
NP_001658.2	P36404
NP_001001973.1	P36542
NP_005165.1	P36542
NP_000088.3	P36551
NP_001263408.1	P36776
NP_001263409.1	P36776
NP_004784.2	P36776
NP_001924.2	P36957
NP_001034936.1	P36969
NP_002076.2	P36969
NP_714941.1	P37198
NP_005028.4	P37231
NP_001014763.1	P38117
NP_001976.1	P38117
NP_004125.3	P38646
NP_001275883.1	P40305
NP_001275886.1	P40305
NP_001275887.1	P40305
NP_001275889.1	P40305
NP_001275924.1	P40305
NP_005523.3	P40305
NP_000240.1	P40692
NP_001161089.1	P40692
NP_001161090.1	P40692
NP_001161091.1	P40692
NP_001245200.1	P40692
NP_001245202.1	P40692
NP_001245203.1	P40692
NP_005909.2	P40926
NP_000173.2	P40939
NP_001025174.1	P41235
NP_002038.2	P41250
NP_003267.1	P42166
NP_006209.2	P42336
NP_477352.3	P42356
NP_573566.2	P42704
NP_006102.2	P42765
NP_002102.4	P42858
NP_000421.1	P43034
NP_000399.3	P43304
NP_001076581.2	P43304
NP_001166166.1	P43897
NP_001166167.1	P43897
NP_001166168.1	P43897
NP_005717.3	P43897
NP_001171712.1	P45880
NP_001171752.1	P45880
NP_003366.2	P45880
NP_001600.1	P45954
NP_001005369.1	P46199
NP_002444.2	P46199
NP_001136277.1	P48029
NP_001136278.1	P48029
NP_005620.1	P48029
NP_001688.1	P48047
NP_004127.1	P48200
NP_001002258.1	P48201
NP_001680.1	P48201
NP_002159.2	P48735
NP_000687.3	P49189
NP_000986.2	P49207
NP_296374.1	P49207
NP_004095.4	P49327
NP_055578.2	P49406
NP_003312.3	P49411
NP_001265660.1	P49590
NP_001265661.1	P49590
NP_036340.1	P49590
NP_006504.2	P49591
NP_006812.3	P49753
NP_015557.2	P49768
NP_005331.1	P49773
NP_000438.2	P49810
NP_001159574.1	P49821
NP_009034.2	P49821
NP_005521.1	P50213
NP_000300.1	P50336
NP_001116236.1	P50336
NP_001027017.1	P50416
NP_001867.2	P50416
NP_001473.1	P50440
NP_000310.2	P50542
NP_001005360.1	P50570
NP_001005361.1	P50570
NP_001005362.1	P50570
NP_001177645.1	P50570
NP_004936.2	P50570
NP_001152.1	P50583
NP_001231319.1	P50583
NP_671701.1	P50583
NP_671702.1	P50583
NP_000301.1	P50897
NP_001136076.1	P50897
NP_001186778.1	P51398
NP_001186779.1	P51398
NP_001186780.1	P51398
NP_004623.1	P51398
NP_387506.1	P51398
XP_005245537.1	P51398
XP_005245538.1	P51398
NP_003063.2	P51532
NP_004126.1	P51553
NP_777358.1	P51553
NP_000358.1	P51580
NP_000050.2	P51587
NP_001104262.1	P51608
NP_004983.1	P51608
NP_000373.1	P51648
NP_001026976.1	P51648
NP_001071.1	P51649
NP_733936.1	P51649
NP_000405.1	P51659
NP_001186220.1	P51659
NP_001186221.1	P51659
NP_055037.1	P51970
NP_005827.1	P52758
NP_000180.2	P52789
NP_002940.2	P52815
NP_005975.1	P53007
NP_001087.2	P53396
NP_942127.1	P53396
XP_005257452.1	P53396
NP_003840.2	P53597
NP_001116080.1	P53701
NP_001165462.1	P53701
NP_005324.3	P53701
NP_001159968.1	P53985
NP_003042.3	P53985
NP_001119603.1	P54098
NP_002684.1	P54098
NP_002878.2	P54136
NP_000144.2	P54803
NP_001188330.1	P54803
NP_001188331.1	P54803
NP_001186128.1	P54819
NP_001616.1	P54819
NP_037543.1	P54819
NP_001017423.1	P54886
NP_002851.2	P54886
NP_001379.1	P55039
NP_000174.1	P55084
NP_005253.3	P55789
NP_000427.1	P55809
NP_003346.2	P55851
NP_003347.1	P55916
NP_073714.1	P55916
NP_001187.1	P55957
NP_001231496.1	P55957
NP_001231498.1	P55957
NP_001231499.1	P55957
NP_001231501.1	P55957
NP_932070.1	P55957
NP_932071.1	P55957
NP_001003713.1	P56134
NP_001003714.1	P56134
NP_001034267.1	P56134
NP_004880.1	P56134
NP_001001503.1	P56181
NP_066553.3	P56181
NP_004981.2	P56192
NP_001018024.1	P56277
NP_001120865.1	P56378
NP_004885.1	P56378
NP_008817.1	P56381
NP_009031.1	P56385
NP_001225.1	P56539
NP_203123.1	P56539
NP_002481.2	P56556
NP_060389.2	P56962
XP_011517122.1	P56962
XP_011517123.1	P56962
NP_060843.2	P57105
NP_068756.2	P57772
NP_000356.1	P60174
NP_001152759.1	P60174
NP_001244955.1	P60174
NP_001269161.1	P60900
NP_001269162.1	P60900
NP_001269163.1	P60900
NP_002782.1	P60900
NP_001655.1	P61586
NP_002148.1	P61604
NP_003156.1	P61764
NP_006423.1	P61916
NP_036588.1	P62072
NP_001010.2	P62244
NP_001025180.1	P62244
NP_001020241.1	P62263
NP_001020242.1	P62263
NP_005608.1	P62263
NP_072045.1	P62269
NP_001193765.1	P62491
NP_004654.1	P62491
NP_009035.3	P62906
NP_005265.1	P63218
NP_001605.1	P63261
NP_005150.1	P68032
NP_001356.1	P78352
NP_001177931.1	P78417
NP_001177932.1	P78417
NP_004823.1	P78417
NP_001478.2	P78537
NP_002519.1	P78549
NP_005004.1	P80303
NP_000654.2	P80404
NP_001120920.1	P80404
NP_065737.2	P80404
NP_064576.1	P82650
NP_071942.1	P82663
NP_060611.2	P82664
NP_001177793.1	P82673
NP_068593.2	P82673
NP_114108.1	P82675
NP_150597.1	P82909
NP_073750.2	P82912
NP_789775.1	P82912
NP_112570.2	P82914
NP_061870.1	P82921
NP_114107.1	P82921
NP_076425.1	P82930
NP_115865.1	P82932
NP_872578.1	P82933
NP_116246.2	P83111
NP_741982.1	P83111
NP_705831.1	P83436
NP_001653.1	P84085
NP_061820.1	P99999
NP_001257711.1	Q00059
NP_003192.1	Q00059
NP_002626.1	Q00325
NP_005879.1	Q00325
NP_998776.1	Q00325
NP_000082.2	Q01955
NP_001003941.1	Q02218
NP_001158508.1	Q02218
NP_002532.2	Q02218
NP_001265522.1	Q02252
NP_005580.1	Q02252
NP_004042.1	Q02338
NP_976059.1	Q02338
NP_976060.1	Q02338
NP_000171.1	Q02846
NP_003553.2	Q02978
NP_000584.2	Q03518
NP_001243439.1	Q04837
NP_001243440.1	Q04837
NP_001243441.1	Q04837
NP_001243442.1	Q04837
NP_003134.1	Q04837
NP_000453.2	Q05086
NP_570853.1	Q05086
NP_570854.1	Q05086
NP_066956.1	Q05823
NP_001002031.1	Q06055
NP_005167.2	Q06055
NP_056958.3	Q06330
NP_001189360.1	Q06830
NP_002565.1	Q06830
NP_859047.1	Q06830
NP_859048.1	Q06830
NP_001203.1	Q07021
NP_004315.1	Q07812
NP_620116.1	Q07812
NP_620118.1	Q07812
NP_620119.2	Q07812
NP_001182.1	Q07817
NP_612815.1	Q07817
XP_011527266.1	Q07817
NP_000773.2	Q07973
NP_001122387.1	Q07973
XP_005260361.1	Q07973
NP_001159887.1	Q08426
NP_001957.2	Q08426
NP_443188.2	Q08AH1
NP_001075029.1	Q09013
NP_001075031.1	Q09013
NP_001075032.1	Q09013
NP_004400.4	Q09013
NP_653174.3	Q0ZGT2
NP_002399.1	Q10469
NP_055975.1	Q10713
NP_055661.3	Q12768
NP_004975.2	Q12840
NP_001091947.1	Q12849
NP_002083.3	Q12849
NP_004748.2	Q12904
NP_057376.2	Q12931
NP_004043.3	Q12983
NP_001389.2	Q13011
NP_001035994.1	Q13057
NP_001035997.2	Q13057
NP_079509.5	Q13057
XP_006722179.1	Q13057
XP_011523602.1	Q13057
NP_006419.2	Q13084
XP_005255098.1	Q13084
NP_942131.1	Q13085
NP_942133.1	Q13085
NP_942134.1	Q13085
NP_942135.1	Q13085
NP_942136.1	Q13085
NP_003434.2	Q13105
NP_006397.1	Q13162
NP_002504.2	Q13232
NP_000077.1	Q13286
NP_001035897.1	Q13286
NP_000042.3	Q13315
NP_004918.1	Q13405
NP_036475.3	Q13423
NP_892022.2	Q13423
NP_006010.2	Q13488
NP_006044.1	Q13488
NP_001184110.1	Q13509
NP_006077.2	Q13509
NP_006825.1	Q13637
NP_001139630.1	Q13724
NP_006293.2	Q13724
NP_001138732.1	Q13772
NP_001138733.1	Q13772
NP_001138734.1	Q13772
NP_001138735.1	Q13772
NP_005428.1	Q13772
NP_066950.1	Q13794
NP_001195.2	Q13873
NP_004499.2	Q13907
NP_005685.1	Q14061
NP_001136075.1	Q14154
NP_055588.3	Q14154
XP_005268604.1	Q14154
XP_005268605.1	Q14154
NP_000544.2	Q14191
NP_001536.1	Q14197
NP_001258766.1	Q14257
NP_002893.1	Q14257
NP_036313.3	Q14318
NP_001278500.1	Q14596
NP_001278501.1	Q14596
NP_005890.2	Q14596
NP_114068.1	Q14596
XP_011523115.1	Q14596
NP_001093422.2	Q14643
NP_001161744.1	Q14643
NP_002213.5	Q14643
NP_001159762.1	Q14654
NP_001073593.1	Q14790
NP_001073594.1	Q14790
NP_001219.2	Q14790
NP_203519.1	Q14790
NP_203520.1	Q14790
NP_203522.1	Q14790
NP_001123561.1	Q15046
NP_005539.1	Q15046
NP_001171968.1	Q15067
NP_004026.2	Q15067
NP_009223.2	Q15067
NP_005006.3	Q15070
NP_000622.2	Q15080
NP_001186827.1	Q15119
NP_001186828.1	Q15119
NP_002602.2	Q15119
NP_001135858.1	Q15120
NP_005382.1	Q15120
NP_001161078.1	Q15286
NP_006852.1	Q15286
NP_055580.1	Q15388
NP_055577.1	Q15392
NP_001267716.1	Q15526
NP_003163.1	Q15526
NP_004209.2	Q15907
NP_004444.2	Q16134
NP_066957.3	Q16540
NP_001179.1	Q16611
NP_000107.1	Q16635
NP_851828.1	Q16635
NP_851829.1	Q16635
NP_851830.1	Q16635
NP_002603.1	Q16654
NP_001350.1	Q16698
NP_004991.1	Q16718
NP_001028170.1	Q16719
NP_001186170.1	Q16719
NP_003928.1	Q16719
NP_006003.1	Q16740
NP_001257412.1	Q16762
NP_003303.2	Q16762
NP_000849.1	Q16774
NP_001152862.1	Q16774
NP_001152863.1	Q16774
NP_001229768.1	Q16774
NP_001229769.1	Q16774
NP_004993.1	Q16795
NP_001087240.1	Q16881
NP_001248374.1	Q16881
NP_001248375.1	Q16881
NP_003321.3	Q16881
NP_877393.1	Q16881
NP_877419.1	Q16881
NP_877420.1	Q16881
NP_001093639.1	Q16891
NP_001093640.1	Q16891
NP_006830.2	Q16891
XP_005264170.1	Q16891
NP_001035363.1	Q2T9J0
NP_775826.2	Q2T9J0
NP_000401.1	Q30201
NP_620572.1	Q30201
NP_620573.1	Q30201
NP_620575.1	Q30201
NP_620576.1	Q30201
NP_620577.1	Q30201
NP_620578.1	Q30201
NP_620579.1	Q30201
NP_620580.1	Q30201
NP_001139523.1	Q3SXM5
NP_113651.4	Q3SXM5
NP_001029345.2	Q3SY69
NP_001001563.1	Q3ZCQ8
NP_001137139.1	Q49AG3
NP_067034.2	Q49AG3
NP_001028222.1	Q49AM1
NP_079474.2	Q49AM1
NP_001258980.1	Q4G0I0
NP_001078880.1	Q4G0N4
NP_001274269.1	Q4G0N4
NP_001274270.1	Q4G0N4
NP_694558.1	Q4G0N4
NP_787103.1	Q4G1C4
NP_001035844.1	Q4J6C6
NP_001035845.1	Q4J6C6
NP_001165074.1	Q4J6C6
NP_001165077.1	Q4J6C6
NP_001165084.1	Q4J6C6
NP_001165088.1	Q4J6C6
NP_006027.2	Q4J6C6
NP_060601.3	Q53EZ4
NP_005613.2	Q53FZ2
NP_973729.1	Q53FZ2
NP_060708.1	Q53H12
NP_057111.1	Q53H82
NP_001014446.1	Q56VL3
NP_001273702.1	Q56VL3
NP_689611.1	Q56VL3
NP_115690.3	Q5HYK3
NP_001077083.1	Q5JPH6
NP_001229236.1	Q5JRX3
NP_001229238.1	Q5JRX3
NP_055704.2	Q5JRX3
NP_001013003.1	Q5JTJ3
NP_065796.1	Q5JTZ9
NP_002658.1	Q5R352
NP_932342.1	Q5RI15
NP_940980.3	Q5S007
NP_001161205.1	Q5ST30
NP_001161206.1	Q5ST30
NP_065175.4	Q5ST30
NP_001074318.1	Q5SXM8
NP_001035940.1	Q5SZL2
NP_056099.3	Q5T011
NP_064716.2	Q5T160
NP_060546.2	Q5T2S8
NP_057034.2	Q5T653
NP_114127.3	Q5T9A4
NP_001092093.2	Q5VST9
NP_443075.3	Q5VST9
NP_001287682.1	Q5VTE6
NP_001287684.1	Q5VTE6
NP_001287686.1	Q5VTE6
NP_001287687.1	Q5VTE6
NP_653168.2	Q5VTE6
NP_060244.2	Q5VV42
NP_001287698.1	Q5VWZ2
NP_001287699.1	Q5VWZ2
NP_001287700.1	Q5VWZ2
NP_001287701.1	Q5VWZ2
NP_620149.2	Q5VWZ2
NP_065907.2	Q63HK5
NP_056161.2	Q68DK2
NP_110383.2	Q6FHW4
NP_064709.2	Q6FI81
NP_056325.2	Q6IAN0
NP_005829.3	Q6IB77
NP_964011.2	Q6IB77
NP_001171940.1	Q6IBW4
NP_055366.3	Q6IBW4
NP_689512.2	Q6IBW4
NP_079140.2	Q6IN84
NP_001130010.1	Q6JQN1
NP_079523.3	Q6JQN1
NP_037518.3	Q6NUK1
NP_998816.1	Q6NUK1
NP_001180442.1	Q6NXT4
NP_001180443.1	Q6NXT4
NP_001180444.1	Q6NXT4
NP_060434.2	Q6NXT4
NP_758455.1	Q6P161
NP_115487.2	Q6P1L8
NP_001005369.1	Q6P1N2
NP_002444.2	Q6P1N2
NP_001230618.1	Q6P1Q0
NP_056231.3	Q6P1Q0
NP_998814.1	Q6P4A7
XP_005269583.1	Q6P4A7
XP_005269584.1	Q6P4A7
NP_001018114.1	Q6P587
NP_001135870.1	Q6P587
NP_112485.1	Q6P587
